"filename", "language", "C++", "CMake", "YAML", "JSON", "Dart", "Properties", "XML", "Markdown", "Swift", "HTML", "Ruby", "comment", "blank", "total"
"/Users/samharvey/development/flutter_apps/water_tank_insights/macos/Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 1, 10, 43
"/Users/samharvey/development/flutter_apps/water_tank_insights/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"/Users/samharvey/development/flutter_apps/water_tank_insights/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68
"/Users/samharvey/development/flutter_apps/water_tank_insights/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"/Users/samharvey/development/flutter_apps/water_tank_insights/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"/Users/samharvey/development/flutter_apps/water_tank_insights/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"/Users/samharvey/development/flutter_apps/water_tank_insights/pubspec.yaml", "YAML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 58, 14, 119
"/Users/samharvey/development/flutter_apps/water_tank_insights/test/tank_volume_calculator_test.dart", "Dart", 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 23, 25, 205
"/Users/samharvey/development/flutter_apps/water_tank_insights/test/widget_test.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 2, 9
"/Users/samharvey/development/flutter_apps/water_tank_insights/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 15, 17, 121
"/Users/samharvey/development/flutter_apps/water_tank_insights/web/manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"/Users/samharvey/development/flutter_apps/water_tank_insights/windows/CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"/Users/samharvey/development/flutter_apps/water_tank_insights/windows/flutter/CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"/Users/samharvey/development/flutter_apps/water_tank_insights/windows/flutter/generated_plugin_registrant.cc", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"/Users/samharvey/development/flutter_apps/water_tank_insights/windows/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/samharvey/development/flutter_apps/water_tank_insights/windows/flutter/generated_plugins.cmake", "CMake", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"/Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"/Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"/Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 550, 464, 50, 178, 3023, 8, 519, 13, 61, 89, 63, 547, 651, 6216
